adjectif_centre,count_centre,classification_centre,adjectif_gauche,count_gauche,classification_gauche,adjectif_droite,count_droite,classificiation_droite
référendum,15,IB,scrutin,4,IB,lourd,5,N
artificiel,15,N,nauséabond,4,N,responsable,5,IB
macroéconomique,15,IB,éternel,4,N,catholique,5,IB
audible,15,N,intermédiaire,4,N,opérationnel,5,IB 
optimiste,15,N,conflictuel,4,IB,islamiste,5,HR
chinois,15,IB,impôt,4,IB,autoritaire,5,HR
mont,15,,terroriste,4,HR,suicidaire,5,N
indispensable,15,N,rappell,4,N,espagnol,5,IB
contraire,15,N,maître,4,N,atlantique,5,IB
accessible,14,N,inacceptable,4,N,attractif,5,N
nul,14,N,incompatible,4,N,intellectuel,5,IB
communiquer,14,,calédonien,4,IB,autrichien,5,IB
mort,14,,montr,4,N,spécialiste,5,IB
scrutin,14,IB,interministériel,4,IB,bataille,5,N
iranien,14,IB,complet,4,N,permanent,5,IB 
analyst,14,,inscrit,4,,indépendantiste,5,HR
ore,14,,dimanch,4,N,conflictuel,5,IB 
apolitique,14,IB,éditorial,4,IB,propagand,5,N
devoir,14,,envers,4,,problèm,5,N
islamique,14,IB,réformateur,4,HR,légal,5,IB 
privé,14,IB,iranien,4,IB,desquelle,5,N
spread,14,IB,jusqu,4,,candidat,5,HR
victoir,14,,macronienn,4,HR,rapide,5,N
campagn,14,,énergétique,4,IB,quelle,5,N
dimanch,14,,dixième,3,N,énergétique,5,IB
investir,14,,pervers,3,N,individuel,5,IB
vieux,14,N,tragique,3,N,partisan,5,HR
final,14,N,dominant,3,I ,las,5,N
opposer,14,,sale,3,N,égal,5,N
obligatoire,14,IB,parl,3,,envers,5,N
espèr,14,,enjeux,3,IB,voisin,5,N
sportif,14,IB,est-ell,3,,administratif,5,IB
semain,14,,lfi,3,HR,fameux,5,N
croissant,13,N,pareil,3,N,environnemental,5,IB
nazi,13,HR,tiqu,3,,thématique,5,IB
macroniste,13,HR,ordinaire,3,N,vital,5,N
d.,13,,suffisant,3,N,inconnu,5,N
énergi,13,,magique,3,N,chaud,5,N
institut,13,,t,3,,mélenchonist,5,HR
intéressant,13,N,voir,3,,écrasant,5,N
objectif,13,N,pur,3,N,communautaire,5,IB
extérieur,13,IB,renouvelable,3,IB,colèr,5,N
ifop,13,,net,3,N,dispositif,5,N
occidental,13,IB,menaçant,3,N,diaz,5,N
contributif,13,IB,écrir,3,,potentiel,5,N
carbon,13,IB,viril,3,N,compatible,5,N
compétitif,13,N,hégémonique,3,HR,fou,5,N
terroriste,13,HR,fidèle,3,N,estival,5,IB
provisoire,13,N,régulier,3,N,gliss,5,N
bruxellois,13,IB,impopulaire,3,N,battu,5,N
automobile,13,IB,inéluctable,3,N,49.3,5,HR
visible,13,N,gaulliste,3,HR,référendum,5,N
universel,13,N,émotionnel,3,N,introuvable,4,N
zéro,13,N,chancelier,3,IB,silencieux,4,N
immigré,13,I ,précis,3,N,illégal,4,IB
autoritaire,13,HR,genr,3,,adjoint,4,IB
technologique,13,IB,anémique,3,N,prédire,4,N
-ell,12,,ouest,3,IB,incontestable,4,N
chiffrag,12,,vieillissant,3,N,séduir,4,N
satisfaisant,12,N,heureux,3,N,constant,4,N
égal,12,N,campagne,3,,ministériel,4,IB
iii,12,,célèbre,3,N,attendre,4,N
tax,12,IB,bureaucratique,3,IB,plateform,4,N
régulier,12,N,criminel,3,N,familier,4,N
toulousain,12,IB,final,3,N,démagogique,4,HR
fund,12,IB,israélo,3,IB,bancal,4,N
ghalibaf,12,,anticapitaliste,3,HR,sonn,4,N
chercheur,12,,moldave,3,IB,actif,4,N
fasciste,12,HR,11,3,N,magique,4,N
conforme,12,IB,maternel,3,IB,soudain,4,N
prévisible,12,N,maint,3,N,adversair,4,N
délicat,12,N,conventionnel,3,IB,analyst,4,N
hebdomadaire,12,IB,abîmé,3,N,minoritaire,4,IB
attendre,12,,originel,3,N,citoyen,4,IB
concret,12,N,ghalibaf,3,N,neuf,4,N
siège,12,,éloigné,3,N,étonnant,4,N
spectaculaire,12,N,mal,3,N,emblématique,4,I 
compliqué,12,N,connu,3,N,binational,4,IB
compatible,12,N,optimiste,3,N,keynésien,4,IB
célèbre,12,N,routier,3,IB,délétère,4,N
précieux,12,N,triangulaire,3,IB,quotidien,4,IB
volontaire,12,N,négatif,3,N,surpris,4,N
manifeste,12,IB,lepen,3,HR,souhaitable,4,N
cribl,12,,acceptable,3,N,respectif,4,N
echo,12,,affaibli,3,N,accus,4,N
racont,12,,syndicaliste,3,HR,franc,4,N
remarqu,12,,suprême,3,N,devoir,4,N
tabou,11,N,49.3,3,HR,malade,4,N
double,11,N,huitième,3,N,inquiétant,4,N
systématique,11,IB,réform,3,N,comment,4,N
tchèque,11,IB,électrique,3,IB,maximal,4,N
urbain,11,IB,respectable,3,N,antifasciste,4,HR
dynamique,11,N,hostile,3,N,payer,4,N
quartier,11,,signataire,3,IB,métier,4,N
pris,11,,asil,3,N,préalable,4,IB 
étonnant,11,N,hont,3,N,vaste,4,N
thématique,11,IB,tribun,3,N,réagi,4,N
intellectuel,11,IB,cagé,3,N,sévère,4,N
strict,11,N,sombre,3,N,audiovisuel,4,IB
emblé,11,N,excellent,3,N,scientifique,4,IB
représentatif,11,IB,intenable,3,N,fasciste,4,HR 
vaste,11,N,froid,3,N,légitime,4,IB
investitur,11,IB,contraindre,3,N,conscient,4,N
préférentiel,11,IB,gigantesque,3,N,phras,4,N
extraordinaire,11,N,hypothétique,3,N,sociale-démocrat,4,HR
interdir,11,,scandaleux,3,N,effectif,4,IB
thermique,11,IB,champ,3,IB,gagner,4,N
départemental,11,IB,souverainiste,3,IB,conforme,4,IB
mensuel,11,IB,poker,3,N,sombre,4,N
insuffisant,11,N,devoir,3,N,taire,4,N
affich,11,,solide,3,N,tactique,4,N
féminin,11,IB,prédir,3,N,pessimiste,4,N
irréconciliable,11,N,ali,3,N,digne,4,N
élir,11,N,antifasciste,3,HR,générationnel,4,IB
gagner,11,N,spectaculaire,3,N,inévitable,4,N
patrimonial,11,IB,juste,3,N,ça,4,N
juste,11,N,royaliste,3,HR,fatal,4,N
maximum,11,N,disponible,3,N,triste,4,N
réélire,11,N,moindre,3,N,successif,4,IB
environnemental,11,IB,musical,3,IB,optimiste,4,N
clivant,11,HR,punitif,3,IB,rassurant,4,N
tarifaire,11,IB,opératoire,3,IB,pareil,4,N
quelle,11,N,brutal,3,N,suivant,4,N
domestique,11,IB,intérieur,3,IB,délicat,4,N
citoyen,11,IB,financer,3,N,philippist,4,HR
métier,11,N,séparatiste,3,HR,rond,4,N
persistant,11,N,laïque,3,IB,représentatif,4,IB
déclencher,11,N,interview,3,N,fédéral,4,IB
constant,11,N,inégalitaire,3,IB,macronien,4,HR
serrer,11,N,mutuel,3,IB,c.g.,4,N
imminent,11,N,attacher,3,N,mémoriel,4,IB 
rude,10,N,campagn,3,N,ridicule,4,N
successif,10,IB,vif,3,N,fatidique,4,N
fier,10,N,pacifique,3,N,tectonique,4,IB 
progress,10,N,kanak,3,IB,marqué,4,N 
trouble,10,N,antirépublicain,3,HR,catastrophique,4,N
secondaire,10,N,lieux,3,N,courageux,4,N
périlleux,10,N,domin,3,N,perdre,4,N
initial,10,N,dériv,3,N,mariniste,4,HR
sortir,10,N,inquiétant,3,N,victoire,4,HR
intense,10,N,qualifié,3,N,programmatique,4,IB
équivalent,10,N,interne,3,IB,scolaire,4,IB
viable,10,N,groupuscule,3,HR,insurrectionnel,4,HR
